"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"BE332_62009","T","TOTAL","2011","11822","",""
"BE332_62011","T","TOTAL","2011","8724","",""
"BE332_62015","T","TOTAL","2011","12036","",""
"BE332_62022","T","TOTAL","2011","21000","",""
"BE332_62026","T","TOTAL","2011","5394","",""
"BE332_62027","T","TOTAL","2011","6908","",""
"BE332_62032","T","TOTAL","2011","13172","",""
"BE332_62038","T","TOTAL","2011","16250","",""
"BE332_62051","T","TOTAL","2011","38770","",""
"BE332_62060","T","TOTAL","2011","9040","",""
"BE332_62063","T","TOTAL","2011","195965","",""
"BE332_62079","T","TOTAL","2011","24177","",""
"BE332_62093","T","TOTAL","2011","23227","",""
"BE332_62096","T","TOTAL","2011","63363","",""
"BE332_62099","T","TOTAL","2011","16277","",""
"BE332_62100","T","TOTAL","2011","13881","",""
"BE332_62108","T","TOTAL","2011","17124","",""
"BE332_62118","T","TOTAL","2011","21937","",""
"BE332_62119","T","TOTAL","2011","13197","",""
"BE332_62120","T","TOTAL","2011","25351","",""
"BE332_62121","T","TOTAL","2011","9868","",""
"BE332_62122","T","TOTAL","2011","8369","",""
"BE334","T","TOTAL","2011","76684","",""
"BE334_64008","T","TOTAL","2011","2950","",""
"BE334_64015","T","TOTAL","2011","5853","",""
"BE334_64021","T","TOTAL","2011","3037","",""
"BE334_64023","T","TOTAL","2011","2934","",""
"BE334_64025","T","TOTAL","2011","3183","",""
"BE334_64029","T","TOTAL","2011","3197","",""
"BE334_64034","T","TOTAL","2011","15404","",""
"BE334_64047","T","TOTAL","2011","3210","",""
"BE334_64056","T","TOTAL","2011","3570","",""
"BE334_64063","T","TOTAL","2011","5583","",""
"BE334_64065","T","TOTAL","2011","6520","",""
"BE334_64074","T","TOTAL","2011","14754","",""
"BE334_64075","T","TOTAL","2011","2713","",""
"BE334_64076","T","TOTAL","2011","3776","",""
"BE335","T","TOTAL","2011","207631","",""
"BE335_63003","T","TOTAL","2011","4185","",""
"BE335_63004","T","TOTAL","2011","4257","",""
"BE335_63020","T","TOTAL","2011","15147","",""
"BE335_63035","T","TOTAL","2011","17152","",""
"BE335_63038","T","TOTAL","2011","8305","",""
"BE335_63045","T","TOTAL","2011","3486","",""
"BE335_63046","T","TOTAL","2011","5786","",""
"BE335_63049","T","TOTAL","2011","12232","",""
"BE335_63057","T","TOTAL","2011","3817","",""
"BE335_63058","T","TOTAL","2011","9726","",""
"BE335_63072","T","TOTAL","2011","10544","",""
"BE335_63073","T","TOTAL","2011","6884","",""
"BE335_63075","T","TOTAL","2011","3208","",""
"BE335_63076","T","TOTAL","2011","12007","",""
"BE335_63079","T","TOTAL","2011","56325","",""
"BE335_63080","T","TOTAL","2011","7054","",""
"BE335_63084","T","TOTAL","2011","9655","",""
"BE335_63086","T","TOTAL","2011","2511","",""
"BE335_63088","T","TOTAL","2011","9890","",""
"BE335_63089","T","TOTAL","2011","5460","",""
"BE336","T","TOTAL","2011","76259","",""
"BE336_63001","T","TOTAL","2011","5440","",""
"BE336_63012","T","TOTAL","2011","5720","",""
"BE336_63013","T","TOTAL","2011","5718","",""
"BE336_63023","T","TOTAL","2011","19099","",""
"BE336_63040","T","TOTAL","2011","10940","",""
"BE336_63048","T","TOTAL","2011","5480","",""
"BE336_63061","T","TOTAL","2011","10488","",""
"BE336_63067","T","TOTAL","2011","9399","",""
"BE336_63087","T","TOTAL","2011","3975","",""
"BE34","T","TOTAL","2011","273205","",""
"BE341","T","TOTAL","2011","58597","",""
